first_1,first_2,first_3,first_4,first_5,first_6,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,third_1,third_2,third_3,third_4,third_5,third_6,state,partyID,partyID_4_TEXT,relig,relig_10_TEXT,religiosity,educ
"strong,sensible,great,wise","decent,consistent,truthful,moral","disgusting,stupid,destructive,selfish","dangerous,unjust,poor,awful","individualistic,artistic,competitive,profit-driven","pragmatic,modern,abstract,purpose-driven","strong,sensible,great,wise","decent,consistent,truthful,moral","disgusting,unfair,dishonest,selfish","irrational,poor,foolish,awful","artistic,competitive,traditional,concrete","abstract,old,rural,purpose-driven","strong,encouraging,sensible,great","important,consistent,truthful,moral","stupid,dishonest,destructive,selfish","dangerous,unjust,poor,awful","individualistic,artistic,competitive,profit-driven","pragmatic,cooperative,modern,purpose-driven","kind,strong,great,wise","decent,respectful,consistent,moral","disgusting,stupid,unfair,destructive","dangerous,unjust,poor,awful","individualistic,artistic,competitive,profit-driven","collectivist,modern,abstract,purpose-driven",New York,Republican,,Catholicism (including Roman Catholic),,3,Bachelor's degree
"strong,encouraging,sensible,great","healthy,important,decent,truthful","irresponsible,unfair,dishonest,destructive","ignorant,irrational,dangerous,poor","individualistic,competitive,traditional,profit-driven","pragmatic,modern,rural,purpose-driven","strong,sensible,great,wise","important,decent,confident,consistent","irresponsible,stupid,dishonest,destructive","ignorant,irrational,dangerous,foolish","competitive,traditional,young,profit-driven","collectivist,pragmatic,old,purpose-driven","kind,sensible,sincere,happy","important,respectful,consistent,truthful","disgusting,stupid,unfair,dishonest","hateful,unjust,foolish,awful","artistic,young,urban,profit-driven","collectivist,cooperative,modern,abstract","strong,great,wise,happy","healthy,important,decent,truthful","unacceptable,stupid,unfair,selfish","dangerous,hateful,unjust,poor","individualistic,artistic,young,urban","collectivist,pragmatic,modern,purpose-driven",Pennsylvania,Independent,,Other Christianity (including non-denominational),,4,Bachelor's degree
"kind,sensible,wise,happy","healthy,decent,confident,respectful","irresponsible,stupid,unfair,dishonest","ignorant,irrational,unjust,foolish","competitive,traditional,urban,profit-driven","pragmatic,cooperative,abstract,purpose-driven","great,wise,sincere,happy","important,confident,consistent,moral","irresponsible,unfair,dishonest,destructive","ignorant,hateful,poor,awful","individualistic,artistic,competitive,young","pragmatic,modern,old,rural","kind,sensible,sincere,happy","decent,confident,consistent,truthful","irresponsible,unfair,dishonest,selfish","dangerous,unjust,poor,foolish","individualistic,artistic,competitive,young","pragmatic,abstract,old,purpose-driven","kind,sensible,great,wise","important,decent,confident,respectful","irresponsible,unfair,dishonest,selfish","ignorant,irrational,unjust,foolish","competitive,traditional,young,profit-driven","collectivist,pragmatic,cooperative,modern",Ohio,Democrat,,Agnostic (not sure if God exists),,2,Bachelor's degree
"kind,strong,great,sincere","decent,confident,truthful,moral","unacceptable,irresponsible,unfair,destructive","irrational,dangerous,unjust,foolish","competitive,traditional,concrete,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,great,wise,sincere","decent,confident,consistent,moral","unacceptable,irresponsible,destructive,selfish","ignorant,irrational,dangerous,foolish","competitive,traditional,concrete,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,encouraging,great,sincere","important,confident,respectful,consistent","disgusting,stupid,unfair,dishonest","ignorant,hateful,unjust,awful","individualistic,artistic,competitive,urban","pragmatic,modern,abstract,purpose-driven","kind,strong,great,wise","decent,confident,consistent,moral","unacceptable,irresponsible,destructive,selfish","irrational,dangerous,unjust,foolish","competitive,traditional,concrete,profit-driven","collectivist,cooperative,modern,purpose-driven",Michigan,Republican,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,6,High school diploma or GED
"strong,encouraging,great,happy","important,decent,confident,consistent","irresponsible,unfair,destructive,selfish","ignorant,irrational,unjust,foolish","competitive,concrete,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,sensible,great,wise","healthy,important,confident,moral","unacceptable,unfair,destructive,selfish","ignorant,dangerous,hateful,unjust","competitive,traditional,concrete,profit-driven","collectivist,cooperative,old,rural","kind,strong,encouraging,great","important,decent,confident,consistent","unacceptable,unfair,destructive,selfish","ignorant,irrational,unjust,poor","individualistic,competitive,young,urban","pragmatic,cooperative,modern,purpose-driven","strong,encouraging,great,wise","healthy,important,decent,consistent","irresponsible,unfair,dishonest,selfish","irrational,hateful,unjust,foolish","competitive,traditional,urban,profit-driven","cooperative,modern,rural,purpose-driven",Indiana,Independent,,Atheists (do not believe God exists),,Not at all1,Some college or Associate's degree
"strong,great,sincere,happy","important,decent,confident,respectful","irresponsible,dishonest,destructive,selfish","ignorant,hateful,foolish,awful","individualistic,competitive,traditional,profit-driven","collectivist,old,rural,purpose-driven","kind,strong,great,happy","confident,respectful,truthful,moral","unacceptable,disgusting,dishonest,destructive","ignorant,irrational,unjust,foolish","competitive,traditional,concrete,profit-driven","collectivist,cooperative,old,purpose-driven","kind,strong,sensible,happy","healthy,important,truthful,moral","irresponsible,disgusting,unfair,destructive","ignorant,irrational,hateful,awful","individualistic,artistic,competitive,young","collectivist,old,rural,purpose-driven","kind,strong,great,happy","important,decent,confident,consistent","unacceptable,irresponsible,dishonest,selfish","ignorant,irrational,foolish,awful","individualistic,competitive,urban,profit-driven","collectivist,old,rural,purpose-driven",Missouri,Republican,,Other Christianity (including non-denominational),,6,Bachelor's degree
"strong,encouraging,great,sincere","important,decent,confident,consistent","unacceptable,irresponsible,dishonest,destructive","ignorant,hateful,unjust,foolish","individualistic,competitive,urban,profit-driven","pragmatic,modern,rural,purpose-driven","strong,great,sincere,happy","important,confident,consistent,truthful","unfair,dishonest,destructive,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,traditional,profit-driven","pragmatic,old,rural,purpose-driven","strong,encouraging,great,sincere","decent,respectful,consistent,moral","unacceptable,irresponsible,unfair,selfish","dangerous,unjust,poor,foolish","artistic,competitive,young,urban","pragmatic,modern,old,purpose-driven","strong,great,sincere,happy","important,decent,confident,consistent","unacceptable,irresponsible,unfair,dishonest","ignorant,irrational,hateful,unjust","individualistic,competitive,young,profit-driven","pragmatic,modern,rural,purpose-driven",Washington,Democrat,,Agnostic (not sure if God exists),,3,Some college or Associate's degree
"kind,strong,encouraging,happy","important,decent,confident,consistent","irresponsible,dishonest,destructive,selfish","ignorant,irrational,hateful,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,modern,old,purpose-driven","strong,great,wise,happy","important,decent,confident,moral","unacceptable,irresponsible,unfair,selfish","ignorant,irrational,unjust,poor","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,wise,sincere,happy","important,decent,confident,consistent","irresponsible,unfair,destructive,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,urban,profit-driven","pragmatic,modern,abstract,purpose-driven","strong,encouraging,great,happy","important,decent,confident,consistent","irresponsible,unfair,destructive,selfish","ignorant,hateful,unjust,foolish","individualistic,competitive,concrete,profit-driven","pragmatic,cooperative,modern,purpose-driven",Missouri,Democrat,,Atheists (do not believe God exists),,Not at all1,Bachelor's degree
"strong,encouraging,sincere,happy","important,decent,confident,moral","unfair,dishonest,destructive,selfish","ignorant,irrational,dangerous,unjust","individualistic,artistic,competitive,profit-driven","pragmatic,cooperative,abstract,old","strong,encouraging,wise,sincere","healthy,important,confident,truthful","unacceptable,irresponsible,disgusting,stupid","dangerous,poor,foolish,awful","competitive,traditional,urban,profit-driven","collectivist,cooperative,modern,rural","strong,encouraging,sincere,happy","healthy,decent,consistent,truthful","disgusting,stupid,unfair,dishonest","ignorant,irrational,hateful,unjust","artistic,competitive,urban,profit-driven","pragmatic,modern,abstract,purpose-driven","kind,strong,encouraging,wise","important,decent,confident,moral","irresponsible,unfair,dishonest,destructive","ignorant,dangerous,hateful,unjust","individualistic,artistic,competitive,profit-driven","modern,abstract,old,purpose-driven",Kentucky,Republican,,Agnostic (not sure if God exists),,2,Some college or Associate's degree
"kind,strong,encouraging,great","important,confident,consistent,moral","stupid,unfair,dishonest,selfish","ignorant,irrational,unjust,poor","individualistic,competitive,traditional,profit-driven","collectivist,cooperative,modern,purpose-driven","strong,encouraging,great,happy","important,confident,respectful,moral","stupid,unfair,destructive,selfish","dangerous,poor,foolish,awful","competitive,traditional,concrete,profit-driven","pragmatic,cooperative,modern,purpose-driven","kind,strong,encouraging,wise","important,decent,consistent,truthful","irresponsible,unfair,dishonest,destructive","ignorant,irrational,unjust,awful","competitive,concrete,young,profit-driven","collectivist,pragmatic,modern,purpose-driven","sensible,great,sincere,happy","important,confident,respectful,consistent","unacceptable,irresponsible,unfair,dishonest","ignorant,hateful,unjust,poor","competitive,concrete,young,urban","pragmatic,cooperative,modern,purpose-driven",California,Democrat,,Atheists (do not believe God exists),,Not at all1,Some college or Associate's degree
"kind,strong,encouraging,sensible","important,respectful,consistent,truthful","irresponsible,disgusting,stupid,selfish","irrational,dangerous,unjust,poor","traditional,concrete,young,urban","pragmatic,cooperative,old,rural","kind,strong,sensible,wise","healthy,consistent,truthful,moral","irresponsible,disgusting,stupid,destructive","irrational,dangerous,poor,awful","individualistic,artistic,urban,profit-driven","collectivist,modern,old,purpose-driven","kind,strong,sensible,sincere","respectful,consistent,truthful,moral","stupid,unfair,dishonest,destructive","hateful,unjust,poor,foolish","traditional,concrete,urban,profit-driven","collectivist,pragmatic,modern,purpose-driven","kind,strong,encouraging,sincere","healthy,decent,confident,moral","irresponsible,disgusting,stupid,destructive","ignorant,dangerous,hateful,foolish","artistic,traditional,young,urban","collectivist,pragmatic,cooperative,modern",Florida,Democrat,,Atheists (do not believe God exists),,Not at all1,Bachelor's degree
"strong,encouraging,great,wise","important,decent,confident,moral","unfair,dishonest,destructive,selfish","ignorant,hateful,unjust,foolish","individualistic,competitive,traditional,profit-driven","cooperative,modern,old,purpose-driven","encouraging,great,wise,sincere","decent,confident,truthful,moral","unacceptable,unfair,dishonest,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,urban,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","strong,great,wise,sincere","important,confident,consistent,moral","irresponsible,unfair,destructive,selfish","ignorant,hateful,unjust,foolish","individualistic,competitive,traditional,concrete","pragmatic,cooperative,old,purpose-driven","strong,sensible,wise,happy","important,decent,consistent,moral","unacceptable,unfair,dishonest,selfish","ignorant,dangerous,hateful,unjust","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,modern,purpose-driven",Michigan,Republican,,Catholicism (including Roman Catholic),,4,Some college or Associate's degree
"strong,great,wise,sincere","important,decent,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,concrete,profit-driven","pragmatic,modern,rural,purpose-driven","strong,encouraging,great,wise","important,respectful,consistent,moral","irresponsible,disgusting,destructive,selfish","irrational,poor,foolish,awful","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,rural,purpose-driven","strong,sensible,great,wise","important,confident,consistent,truthful","unacceptable,unfair,dishonest,destructive","hateful,unjust,foolish,awful","artistic,concrete,young,urban","collectivist,modern,abstract,purpose-driven","strong,sensible,great,sincere","important,consistent,truthful,moral","disgusting,stupid,unfair,selfish","ignorant,irrational,dangerous,hateful","individualistic,competitive,urban,profit-driven","pragmatic,modern,rural,purpose-driven",California,Republican,,Atheists (do not believe God exists),,Not at all1,Bachelor's degree
"kind,encouraging,sensible,happy","healthy,decent,confident,consistent","unacceptable,disgusting,destructive,selfish","ignorant,hateful,unjust,awful","individualistic,competitive,concrete,profit-driven","collectivist,pragmatic,old,rural","strong,great,wise,happy","important,confident,respectful,truthful","disgusting,stupid,dishonest,destructive","hateful,poor,foolish,awful","artistic,competitive,traditional,profit-driven","cooperative,modern,abstract,purpose-driven","kind,strong,great,happy","healthy,important,decent,confident","irresponsible,stupid,dishonest,selfish","ignorant,dangerous,poor,foolish","artistic,competitive,traditional,young","cooperative,modern,abstract,purpose-driven","encouraging,sensible,wise,happy","healthy,decent,confident,consistent","irresponsible,disgusting,unfair,selfish","ignorant,irrational,hateful,awful","competitive,concrete,young,profit-driven","collectivist,pragmatic,abstract,purpose-driven",Missouri,Democrat,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,5,Bachelor's degree
"strong,encouraging,great,sincere","important,decent,confident,respectful","unacceptable,irresponsible,unfair,selfish","ignorant,irrational,dangerous,unjust","individualistic,competitive,traditional,concrete","cooperative,abstract,old,purpose-driven","encouraging,sensible,great,wise","important,confident,truthful,moral","irresponsible,disgusting,unfair,destructive","unjust,poor,foolish,awful","competitive,traditional,concrete,profit-driven","pragmatic,modern,abstract,old","strong,sensible,wise,sincere","important,decent,respectful,truthful","unacceptable,unfair,dishonest,selfish","dangerous,unjust,poor,awful","individualistic,competitive,concrete,young","collectivist,cooperative,abstract,old","encouraging,wise,sincere,happy","decent,consistent,truthful,moral","unacceptable,disgusting,unfair,selfish","dangerous,hateful,poor,awful","individualistic,concrete,young,urban","collectivist,pragmatic,rural,purpose-driven",Ohio,Democrat,,Agnostic (not sure if God exists),,Not at all1,Bachelor's degree
"strong,sensible,great,wise","decent,confident,consistent,moral","irresponsible,unfair,destructive,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,traditional,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","strong,sensible,great,wise","important,decent,truthful,moral","unacceptable,irresponsible,dishonest,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,traditional,concrete","pragmatic,cooperative,rural,purpose-driven","strong,encouraging,sensible,sincere","important,decent,truthful,moral","unacceptable,irresponsible,unfair,selfish","ignorant,irrational,dangerous,unjust","individualistic,competitive,traditional,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","strong,sensible,great,sincere","important,decent,confident,respectful","unacceptable,unfair,dishonest,destructive","irrational,dangerous,hateful,unjust","individualistic,competitive,traditional,profit-driven","collectivist,pragmatic,cooperative,purpose-driven",New York,Republican,,Agnostic (not sure if God exists),,Not at all1,Bachelor's degree
"strong,sensible,great,wise","important,confident,respectful,consistent","stupid,dishonest,destructive,selfish","ignorant,dangerous,hateful,unjust","competitive,young,urban,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","strong,sensible,great,wise","important,confident,respectful,truthful","irresponsible,stupid,dishonest,selfish","ignorant,irrational,dangerous,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,old,rural,purpose-driven","kind,strong,sensible,great","important,respectful,truthful,moral","unfair,dishonest,destructive,selfish","dangerous,hateful,unjust,poor","individualistic,artistic,young,urban","collectivist,cooperative,modern,abstract","strong,encouraging,sensible,sincere","important,confident,respectful,consistent","stupid,dishonest,destructive,selfish","ignorant,irrational,dangerous,hateful","individualistic,competitive,young,profit-driven","collectivist,pragmatic,cooperative,purpose-driven",South Carolina,Republican,,Christian Orthodox,,5,Bachelor's degree
"strong,encouraging,wise,happy","important,decent,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,dangerous,poor,foolish","individualistic,competitive,traditional,concrete","cooperative,modern,rural,purpose-driven","strong,encouraging,great,happy","confident,respectful,consistent,truthful","unacceptable,irresponsible,unfair,selfish","irrational,dangerous,unjust,foolish","individualistic,competitive,traditional,profit-driven","collectivist,abstract,old,purpose-driven","kind,encouraging,wise,happy","healthy,important,decent,confident","irresponsible,disgusting,dishonest,destructive","ignorant,dangerous,foolish,awful","individualistic,traditional,concrete,profit-driven","collectivist,abstract,old,purpose-driven","strong,great,wise,sincere","important,decent,confident,consistent","unacceptable,unfair,dishonest,destructive","ignorant,irrational,dangerous,foolish","competitive,traditional,concrete,profit-driven","pragmatic,cooperative,old,rural",Michigan,Republican,,Agnostic (not sure if God exists),,Not at all1,Some college or Associate's degree
"strong,great,wise,sincere","important,decent,confident,consistent","irresponsible,unfair,destructive,selfish","irrational,dangerous,hateful,foolish","individualistic,competitive,traditional,profit-driven","collectivist,modern,old,purpose-driven","strong,great,wise,sincere","important,decent,confident,consistent","irresponsible,stupid,unfair,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,urban,profit-driven","collectivist,old,rural,purpose-driven","strong,encouraging,sensible,sincere","important,confident,consistent,truthful","unacceptable,disgusting,dishonest,destructive","ignorant,irrational,dangerous,awful","individualistic,artistic,young,urban","collectivist,pragmatic,cooperative,abstract","strong,sensible,great,wise","important,confident,consistent,moral","irresponsible,unfair,dishonest,destructive","ignorant,irrational,dangerous,poor","competitive,traditional,urban,profit-driven","collectivist,old,rural,purpose-driven",California,Independent,,Agnostic (not sure if God exists),,Not at all1,Bachelor's degree
"kind,strong,sensible,great","important,decent,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,irrational,unjust,foolish","individualistic,artistic,competitive,young","cooperative,modern,abstract,purpose-driven","strong,great,wise,happy","important,confident,respectful,truthful","irresponsible,stupid,dishonest,destructive","ignorant,irrational,unjust,foolish","individualistic,competitive,concrete,profit-driven","cooperative,modern,old,purpose-driven","kind,strong,encouraging,sensible","healthy,decent,respectful,moral","unacceptable,disgusting,dishonest,destructive","ignorant,dangerous,hateful,unjust","artistic,competitive,young,urban","collectivist,pragmatic,rural,purpose-driven","kind,strong,sensible,great","important,decent,respectful,consistent","unfair,dishonest,destructive,selfish","ignorant,dangerous,hateful,poor","individualistic,competitive,young,profit-driven","pragmatic,cooperative,abstract,purpose-driven",Washington,Republican,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,6,Bachelor's degree
"kind,strong,great,wise","decent,respectful,consistent,moral","irresponsible,unfair,dishonest,selfish","ignorant,irrational,dangerous,unjust","competitive,traditional,urban,profit-driven","collectivist,modern,old,purpose-driven","strong,great,wise,happy","healthy,confident,consistent,moral","disgusting,dishonest,destructive,selfish","irrational,dangerous,hateful,foolish","competitive,concrete,urban,profit-driven","collectivist,pragmatic,abstract,purpose-driven","strong,encouraging,great,wise","healthy,important,respectful,truthful","unacceptable,disgusting,destructive,selfish","ignorant,irrational,unjust,foolish","individualistic,artistic,traditional,young","pragmatic,cooperative,modern,abstract","strong,encouraging,sensible,sincere","decent,confident,respectful,truthful","irresponsible,disgusting,unfair,dishonest","ignorant,dangerous,foolish,awful","artistic,competitive,traditional,profit-driven","pragmatic,abstract,old,purpose-driven",West Virginia,Democrat,,Agnostic (not sure if God exists),,Not at all1,Some college or Associate's degree
